"Board Code","License Type Code","Licensee Name","Rank Code","Modifier Code","Mailing Name","Mailing Street Address","Mailing Address Line 2","Mailing Address Line 3","Mailing City","Mailing State Code","Mailing Zip Code","Primary Phone Number","Mailing County Code","Business Name","Filler","Location Street Address","Location Address Line 2","Location Address Line 3","Location City","Location State Code","Location Zip Code","Location County Code","Location County","Secondary Phone Number","District","Region","License Number","Primary Status Code","Secondary Status Code","License Expiry Date","Last Inspection Date","Number of Seats or Rental Units","Base Risk Level","Secondary Risk Level"
"200","2010","AKASHI JAPANESE RESTAURANT INC","SEAT","","ATTN: LARRY CHI","5301 SW 76 STREET","","","MIAMI","FL","33143-3645","(305)761-7121","23","AKASHI JAPANESE RESTAURANT","","5830 S DIXIE HWY","","","SOUTH MIAMI","FL","33143-3645","23","Dade","(305)665-6261","1","34","SEA2300159","20","20","10/01/2025","04/02/2025","60","Risk Level 2",""
"200","2010","AMPY ENTERPRISES INC","SEAT","","AMPY ENTERPRISES DBA MCDONALD'S #1789","5615 NW 74 AVE","","","MIAMI","FL","33166","7865145492","23","MCDONALD'S RESTAURANT #1789","","3280 CORAL WAY","","","MIAMI","FL","331452234","23","Dade","(305)444-5466","1","09","SEA2301340","20","20","10/01/2025","11/19/2024","50","Risk Level 1",""
"200","2010","ARBETTER'S OF BIRD ROAD INC","SEAT","","DAVID ARBETTER","5311 SW 89 PL","","","MIAMI","FL","33165","","23","ARBETTER'S HOT DOGS","","8747 SW 40 ST","","","MIAMI","FL","33165","23","Dade","305.207.0555","1","20","SEA2301236","20","20","10/01/2025","02/20/2025","16","Risk Level 2",""
"200","2010","AVENTURA BEACH ASSOCIATES LTD","SEAT","","","19201 COLLINS AVE","","","MIAMI BEACH","FL","331602202","(305)932-2233","23","COFFEE SHOP","","19201 COLLINS AVE","","","MIAMI BEACH","FL","331602202","23","Dade","(305)932-2233","1","08","SEA2302123","20","20","10/01/2025","03/17/2025","124","Risk Level 1",""
"200","2010","AVENTURA BEACH ASSOCIATES LTD","SEAT","","","19201 COLLINS AVE","","","MIAMI BEACH","FL","331602202","(305)932-2233","23","SNACK BAR-TRADER JOES","","19201 COLLINS AVE","","","MIAMI BEACH","FL","331602202","23","Dade","(305)932-2233","1","08","SEA2301298","20","20","10/01/2025","03/17/2025","20","Risk Level 1",""
"200","2010","BISCAYNE BAY REST CORP","SEAT","","RUSTY PELICAN ","150 PAULARINO AVE ","BUILDING C","","COSTA MESA","CA","92626","714-279-6100","705","RUSTY PELICAN # 26","","3201 RICKENBACKER CSWY","","","KEY BISCAYNE","FL","33149","23","Dade","3613818","1","15","SEA2303412","20","20","10/01/2025","05/09/2025","350","Risk Level 2",""
"200","2010","BURGER KING COMPANY LLC","SEAT","","BUSINESS LICENSES LLC","PO BOX 8000","","","MONSEY","NY","10952","","732","BURGER KING #6","","9201 S DIXIE HWY","","","MIAMI","FL","331562929","23","Dade","305-666-1140","1","34","SEA2301696","20","20","10/01/2025","11/19/2024","74","Risk Level 1",""
"200","2010","BURGER KING COMPANY LLC","SEAT","","BUSINESS LICENSES LLC","PO BOX 8000","","","MONSEY","NY","10952","305-378-7151","732","BURGER KING #12","","1910 NE 163 ST","","","NORTH MIAMI BEACH","FL","331624826","23","Dade","(305)947-4121","1","07","SEA2330090","20","20","10/01/2025","11/19/2024","74","Risk Level 1",""
"200","2010","BURGER KING COMPANY LLC","SEAT","","BUSINESS LICENSES LLC","PO BOX 8000","","","MONSEY","NY","10952","305-378-7151","732","BURGER KING #14","","9675 BIRD RD","","","MIAMI","FL","33165-4030","23","Dade","2211961","1","20","SEA2300669","20","20","10/01/2025","11/19/2024","149","Risk Level 1",""
"200","2010","BURGER KING COMPANY LLC","SEAT","","BUSINESS LICENSES LLC","PO BOX 8000","","","MONSEY","NY","10952","305-378-7151","732","BURGER KING #29","","7070 SW 40 ST","","","MIAMI","FL","331553716","23","Dade","6611252","1","20","SEA2301418","20","20","10/01/2025","11/19/2024","74","Risk Level 1",""
"200","2010","BURGER KING COMPANY LLC","SEAT","","BUSINESS LICENSES LLC","PO BOX 8000","","","MONSEY","NY","10952","305-378-7151","732","BURGER KING #60","","12215 BISCAYNE BLVD","","","NORTH MIAMI","FL","33181","23","Dade","305.893.5761","1","05","SEA2303134","20","20","10/01/2025","11/19/2024","81","Risk Level 1",""
"200","2010","BURGER KING COMPANY LLC","SEAT","","BUSINESS LICENSES LLC","PO BOX 8000","","","MONSEY","NY","10952","305-378-7151","732","BURGER KING #63","","3700 CURTISS PKY","","","MIAMI SPGS","FL","331667106","23","Dade","(305)871-1515","1","06","SEA2302264","20","20","10/01/2025","11/19/2024","149","Risk Level 1",""
"200","2010","BURGER KING COMPANY LLC","SEAT","","BUSINESS LICENSES LLC","PO BOX 8000","","","MONSEY","NY","10952","305-378-7151","732","BURGER KING #7","","3051 CORAL WAY","","","MIAMI","FL","331453212","23","Dade","","1","09","SEA2301487","20","20","10/01/2025","11/19/2024","96","Risk Level 1",""
"200","2010","BURGER KING COMPANY LLC","SEAT","","BUSINESS LICENSES LLC","PO BOX 8000","","","MONSEY","NY","10952","305-378-7151","732","BURGER KING 25","","17951 NW 27 AVE","","","MIAMI","FL","330563504","23","Dade","","1","07","SEA2302959","20","20","10/01/2025","11/19/2024","76","Risk Level 1",""
"200","2010","BURGER KING COMPANY LLC","SEAT","","BUSINESS LICENSES LLC","PO BOX 8000","","","MONSEY","NY","10952","305-378-7151","732","BURGER KING 38","","910 41 ST","","","MIAMI BEACH","FL","331403307","23","Dade","","1","03","SEA2301010","20","20","10/01/2025","11/19/2024","91","Risk Level 1",""
"200","2010","BURGER KING COMPANY LLC","SEAT","","BUSINESS LICENSES LLC","PO BOX 8000","","","MONSEY","NY","10952","305-378-7151","732","BURGER KING 41","","1309 NW 20 ST","","","MIAMI","FL","331427721","23","Dade","305-747-9822","1","17","SEA2300557","20","20","10/01/2025","11/19/2024","25","Risk Level 1",""
"200","2010","BURGER KING COMPANY LLC","SEAT","","BUSINESS LICENSES LLC","PO BOX 8000","","","MONSEY","NY","10952","305-378-7151","732","BURGER KING STORE 44","","13201 S DIXIE HWY","","","MIAMI","FL","331566511","23","Dade","","1","34","SEA2302281","20","20","10/01/2025","11/19/2024","74","Risk Level 1",""
"200","2010","CAPTAINS TAVERN RST INC","SEAT","","","9625 S DIXIE HWY","","","MIAMI","FL","33156","3056657272","23","CAPTAINS TAVERN","","9621 S DIXIE HWY","","","MIAMI","FL","331562804","23","Dade","305-666-5979","1","34","SEA2303388","20","20","10/01/2025","05/14/2025","202","Risk Level 2",""
